userName,teks_ulasan,rating,tanggal_ulasan,teks_bersih,tokens,tokens_stopword,tokens_stemmed,teks_stemmed,skor_sentimen,kategori_sentimen
Achmad Riyadhi,"terimakasih, sangat membantu setiap zoom meeting",5,2026-06-20 11:19:32,terimakasih sangat membantu setiap zoom meeting,"['terimakasih', 'sangat', 'membantu', 'setiap', 'zoom', 'meeting']","['terimakasih', 'membantu', 'zoom', 'meeting']","['terimakasih', 'bantu', 'zoom', 'meeting']",terimakasih bantu zoom meeting,0.3,Positif
Ivonne Alenda,"Aplikasi yg selalu ku pake saat kuliah di masa pandemi, kualitas videonya oke, fitur"" yg tersedia juga oke. selalu pakai ini buat online meeting.",5,2026-06-20 08:19:17,aplikasi yg selalu ku pake saat kuliah di masa pandemi kualitas videonya oke fitur yg tersedia juga oke selalu pakai ini buat online meeting,"['aplikasi', 'yg', 'selalu', 'ku', 'pake', 'saat', 'kuliah', 'di', 'masa', 'pandemi', 'kualitas', 'videonya', 'oke', 'fitur', 'yg', 'tersedia', 'juga', 'oke', 'selalu', 'pakai', 'ini', 'buat', 'online', 'meeting']","['aplikasi', 'pake', 'kuliah', 'pandemi', 'kualitas', 'videonya', 'oke', 'fitur', 'tersedia', 'oke', 'pakai', 'online', 'meeting']","['aplikasi', 'pake', 'kuliah', 'pandemi', 'kualitas', 'video', 'oke', 'fitur', 'sedia', 'oke', 'pakai', 'online', 'meeting']",aplikasi pake kuliah pandemi kualitas video oke fitur sedia oke pakai online meeting,0.6,Positif
Fani Sugiarto,the application is comfortable to use and not Tibetan,5,2026-06-20 07:58:20,the application is comfortable to use and not tibetan,"['the', 'application', 'is', 'comfortable', 'to', 'use', 'and', 'not', 'tibetan']","['application', 'comfortable', 'use', 'not', 'tibetan']","['application', 'comfortable', 'use', 'not', 'tibetan']",application comfortable use not tibetan,0.0,Positif
Nurul Fathima,rapat menjadi lebih efektif dengan zoom,5,2026-06-20 07:32:29,rapat menjadi lebih efektif dengan zoom,"['rapat', 'menjadi', 'lebih', 'efektif', 'dengan', 'zoom']","['rapat', 'efektif', 'zoom']","['rapat', 'efektif', 'zoom']",rapat efektif zoom,0.3,Positif
Tanisha Davis,b aja,2,2026-06-20 07:08:20,b aja,"['b', 'aja']",[],[],,0.0,Negatif
Junita S,bagus,5,2026-06-20 04:17:10,bagus,['bagus'],['bagus'],['bagus'],bagus,0.3,Positif
ke keizz,"Zoom is a dependable video conferencing app that makes online meetings and classes easy to join. The video and audio quality are generally very good, and features like screen sharing and virtual backgrounds improve the overall experience.",5,2026-06-20 02:05:33,zoom is a dependable video conferencing app that makes online meetings and classes easy to join the video and audio quality are generally very good and features like screen sharing and virtual backgrounds improve the overall experience,"['zoom', 'is', 'a', 'dependable', 'video', 'conferencing', 'app', 'that', 'makes', 'online', 'meetings', 'and', 'classes', 'easy', 'to', 'join', 'the', 'video', 'and', 'audio', 'quality', 'are', 'generally', 'very', 'good', 'and', 'features', 'like', 'screen', 'sharing', 'and', 'virtual', 'backgrounds', 'improve', 'the', 'overall', 'experience']","['zoom', 'dependable', 'video', 'conferencing', 'app', 'makes', 'online', 'meetings', 'classes', 'easy', 'join', 'video', 'audio', 'quality', 'generally', 'good', 'features', 'like', 'screen', 'sharing', 'virtual', 'backgrounds', 'improve', 'overall', 'experience']","['zoom', 'dependable', 'video', 'conferencing', 'app', 'makes', 'online', 'meetings', 'classes', 'easy', 'join', 'video', 'audio', 'quality', 'generally', 'good', 'features', 'like', 'screen', 'sharing', 'virtual', 'backgrounds', 'improve', 'overall', 'experience']",zoom dependable video conferencing app makes online meetings classes easy join video audio quality generally good features like screen sharing virtual backgrounds improve overall experience,0.3,Positif
Raihan Rizieq,Bagus dan lancar dalam komunikasinya. Tolong ditambahkan fitur trankripsi di ruang diskusi,4,2026-06-20 01:38:45,bagus dan lancar dalam komunikasinya tolong ditambahkan fitur trankripsi di ruang diskusi,"['bagus', 'dan', 'lancar', 'dalam', 'komunikasinya', 'tolong', 'ditambahkan', 'fitur', 'trankripsi', 'di', 'ruang', 'diskusi']","['bagus', 'lancar', 'komunikasinya', 'tolong', 'fitur', 'trankripsi', 'ruang', 'diskusi']","['bagus', 'lancar', 'komunikasi', 'tolong', 'fitur', 'trankripsi', 'ruang', 'diskusi']",bagus lancar komunikasi tolong fitur trankripsi ruang diskusi,0.6,Positif
Chania Esni,gada bg nya,1,2026-06-20 01:27:28,gada bg nya,"['gada', 'bg', 'nya']",['gada'],['gada'],gada,0.0,Negatif
Maveryn Unovelle,"semakin kesini semakin dibikin ribet nyari fitur nya, mana gd tutorialnya. mksi",2,2026-06-19 16:23:02,semakin kesini semakin dibikin ribet nyari fitur nya mana gd tutorialnya mksi,"['semakin', 'kesini', 'semakin', 'dibikin', 'ribet', 'nyari', 'fitur', 'nya', 'mana', 'gd', 'tutorialnya', 'mksi']","['kesini', 'dibikin', 'ribet', 'nyari', 'fitur', 'tutorialnya', 'mksi']","['kesini', 'bikin', 'ribet', 'nyari', 'fitur', 'tutorial', 'mksi']",kesini bikin ribet nyari fitur tutorial mksi,-0.3,Negatif
David Richard,everything is okay,5,2026-06-19 12:11:40,everything is okay,"['everything', 'is', 'okay']","['everything', 'okay']","['everything', 'okay']",everything okay,0.0,Positif
rona yanuar,rapat dari kasur tapi background kantor,5,2026-06-19 06:17:06,rapat dari kasur tapi background kantor,"['rapat', 'dari', 'kasur', 'tapi', 'background', 'kantor']","['rapat', 'kasur', 'background', 'kantor']","['rapat', 'kasur', 'background', 'kantor']",rapat kasur background kantor,0.0,Positif
Dzakiyyah Azkiya fairus,"sayang aplikasi,a berhenti sendiri padahal apk nya sangat membantu sekali,apa lagi kalau ada zoom dari PPATK pusat yg mengharuskan zoom meet",4,2026-06-19 03:49:47,sayang aplikasi a berhenti sendiri padahal apk nya sangat membantu sekali apa lagi kalau ada zoom dari ppatk pusat yg mengharuskan zoom meet,"['sayang', 'aplikasi', 'a', 'berhenti', 'sendiri', 'padahal', 'apk', 'nya', 'sangat', 'membantu', 'sekali', 'apa', 'lagi', 'kalau', 'ada', 'zoom', 'dari', 'ppatk', 'pusat', 'yg', 'mengharuskan', 'zoom', 'meet']","['sayang', 'aplikasi', 'berhenti', 'apk', 'membantu', 'zoom', 'ppatk', 'pusat', 'mengharuskan', 'zoom', 'meet']","['sayang', 'aplikasi', 'henti', 'apk', 'bantu', 'zoom', 'ppatk', 'pusat', 'harus', 'zoom', 'meet']",sayang aplikasi henti apk bantu zoom ppatk pusat harus zoom meet,0.3,Positif
FENI WULANDARI,"jelek, GK bisa masuk",1,2026-06-19 02:23:20,jelek gk bisa masuk,"['jelek', 'gk', 'bisa', 'masuk']","['jelek', 'masuk']","['jelek', 'masuk']",jelek masuk,0.0,Negatif
aidi mansuri,sangat Rekomended,5,2026-06-19 01:35:02,sangat rekomended,"['sangat', 'rekomended']",['rekomended'],['rekomended'],rekomended,0.0,Positif
anton dharma,Ga kebayang kalo g ada zoom,5,2026-06-19 01:19:06,ga kebayang kalo g ada zoom,"['ga', 'kebayang', 'kalo', 'g', 'ada', 'zoom']","['kebayang', 'zoom']","['bayang', 'zoom']",bayang zoom,0.0,Positif
